"","X","contributions","between_centrality","loc","member","org"
"122","AndrewTolmach",16,0,"[]","False","facebook"
"123","Andrewpk",1,0,"Royal Oak, Michigan","False","facebook"
"124","Andrey-Mishanin",275,0.000149923661842275,"","False","facebook"
"125","Andreyco",5,0.000267550842085799,"Slovakia","False","facebook"
"126","AndrooTheChen",3,0,"[]","False","facebook"
"127","AndyG",1,0,"","False","facebook"
"128","Anenth",4,0,"Bangalore","False","facebook"
"129","Angelfire",1,0,"[]","False","facebook"
"130","AnneTheAgile",1,0,"","False","facebook"
"131","AntC2",2,0,"[]","False","facebook"
"132","AntoineDoubovetzky",1,0,"[]","False","facebook"
"133","Antondomashnev",15,0.000389612201826187,"[]","False","facebook"
"134","AodhanHayter",1,0,"Salt Lake City, UT","False","facebook"
"135","Apollinaire",1,0,"Paris, France","False","facebook"
"136","AprilArcus",3,0,"","False","facebook"
"137","AriLFrankel",1,0,"Austin, TX","False","facebook"
"138","ArieShapiro",1,0,"","False","facebook"
"139","ArielH25",1,0,"Ohio, Canada","False","facebook"
"140","ArkadyDR",1,0,"","False","facebook"
"141","Armaxis",2,0,"San Francisco, CA","False","facebook"
"142","ArtSabintsev",60,0,"McLean, VA","False","facebook"
"143","ArtemGovorov",4,0,"Gold Coast, Australia","False","facebook"
"144","Arthelon",1,0,"","False","facebook"
"145","Artoria2e5",3,0.000453526960030569,"Great Barrington, MA","False","facebook"
"146","AsaAyers",3,0.000128835544184629,"","False","facebook"
"147","Ashikpaul",4,0,"[]","False","facebook"
"148","Ashish1101",1,0,"[]","False","facebook"
"149","AshleyYakeley",10,0,"[]","False","facebook"
"150","Ashoat",6,0.000154108981304316,"New York City","False","facebook"
"151","Ashpants",2,0,"","False","facebook"
"152","Ashton-W",2,0,"Melbourne","False","facebook"
"153","Ashwin-Mothilal",2,0,"[]","False","facebook"
"154","AshwiniReddyChalla",1,0,"","False","facebook"
"155","Atul9",2,0.00034618348152606,"Pune, India","False","facebook"
"156","Atyansh",2,0,"Bay Area","True","facebook"
"157","AudyOdi",2,0,"[]","False","facebook"
"158","AugustinLF",1,0,"Paris","False","facebook"
"159","AutoSponge",1,0,"[]","False","facebook"
"160","AvraamMavridis",1,0,"Berlin","False","facebook"
"161","AwesomeZaidi",1,0,"[]","False","facebook"
"162","AxelLin",63,0,"Taiwan","False","facebook"
"163","BMorearty",1,0,"[]","False","facebook"
"164","BODAZ",1,0,"","False","facebook"
"165","BPScott",1,0,"[]","False","facebook"
"166","BTMPL",1,0,"","False","facebook"
"167","BYK",10,1.11678165270429e-05,"Izmir, Turkey","False","facebook"
"168","Babar",35,0.000208674766600487,"","False","facebook"
"169","Balandat",46,0,"San Francisco Bay Area","False","facebook"
"170","BalestraPatrick",1,0,"[]","False","facebook"
"171","BarakChamo",1,0,"Brooklyn, NY","False","facebook"
"172","BarrettOlson",6,0,"","False","facebook"
"173","BartMassey",2,0,"[]","False","facebook"
"174","BatDroid",5,0,"[]","False","facebook"
"175","Bebere",5,0,"[]","False","facebook"
"176","BeckyWu220",1,0,"[]","False","facebook"
"177","Ben0mega",2,0,"","False","facebook"
"178","BenBrostoff",1,0,"[]","False","facebook"
"179","BenDoan",1,0,"","False","facebook"
"180","BenGardiner",27,0,"Kanata, ON","False","facebook"
"181","Benjamin-Dobell",1,0,"[]","False","facebook"
"182","BenjiLee",2,0,"","False","facebook"
"183","BennettSmith",21,0,"[]","False","facebook"
"184","BenoitAverty",1,0,"[]","False","facebook"
"185","BenoitZugmeyer",1,0,"Paris","False","facebook"
"186","Berdes",1,0,"[]","False","facebook"
"187","Bernabe-Felix",2,0,"[]","False","facebook"
"188","Bharat123rox",1,0,"Chennai","False","facebook"
"189","Bhullnatik",11,0,"Everywhere","False","facebook"
"190","Billy-",1,0,"London, UK","False","facebook"
"191","Billydubb",1,0,"[]","False","facebook"
"192","BinaryMuse",1,0,"San Francisco, CA","False","facebook"
"193","BlackGlory",1,0,"","False","facebook"
"194","Blaisorblade",1,0,"[]","False","facebook"
"195","BlenderDude",1,0,"[]","False","facebook"
"196","BobDG",21,0,"[]","False","facebook"
"197","BobertForever",7,0.000454733063919244,"Austin, TX","True","facebook"
"198","Bodigrim",3,0,"[]","False","facebook"
"199","BogdanDor",6,0.00018870570190117,"","False","facebook"
"200","BorisTB",1,0,"Brno, Czech Republic","False","facebook"
"201","BorisValkov5",1,0,"","False","facebook"
"202","BrendanJMurray",1,0,"[]","False","facebook"
"203","Brenw10",1,0,"São José dos Campos, SP - Brazil","False","facebook"
"204","BretJohnson",4,0,"Atlanta, GA","False","facebook"
"205","Brew-Brew",1,0,"[]","False","facebook"
"206","BrianDGLS",1,0,"[]","False","facebook"
"207","Brianzchen",5,0,"Sydney, AU","False","facebook"
"208","BridgeAR",1,0,"Frankfurt, Germany","False","facebook"
"209","BrockWills",1,0,"[]","False","facebook"
"210","BrodaNoel",1,0,"[]","False","facebook"
"211","Bruno-Furtado",13,0,"[]","False","facebook"
"212","BuckyMaler",1,0,"Houston, Texas","False","facebook"
"213","Bulforce",1,0,"","False","facebook"
"214","BurntBrunch",37,0.000114059567893556,"","True","facebook"
"215","BusyJay",7,0,"China","False","facebook"
"216","C0deBr8kr",5,0,"New york","False","facebook"
"217","C4Phone",7,0,"[]","False","facebook"
"218","CEWendel",26,0,"[]","False","facebook"
"219","CFFChi",1,0,"","False","facebook"
"220","CGreenburg",1,0,"[]","False","facebook"
"221","CLowbrow",3,0,"[]","False","facebook"
"222","CMDadabo",1,0,"[]","False","facebook"
"223","CPSTL",1,0,"Earth","False","facebook"
"224","Calvin-Fernandez",26,8.55952910926719e-05,"","False","facebook"
"225","CarlMungazi",3,0,"[]","False","facebook"
"226","CarlRosell",2,5.98766768272879e-05,"Stockholm, Sweden","False","facebook"
"227","CarlaCosenza",45,3.02638503261716e-05,"[]","False","facebook"
"228","Carlsson87",1,0,"Sverige","False","facebook"
"229","Carreau",1,0,"[]","False","facebook"
"230","Cartas",2,0,"[]","False","facebook"
"231","CaryLandholt",1,0,"[]","False","facebook"
"232","Caseyyu2",1,0,"[]","False","facebook"
"233","CatherineGasnier",386,8.55952910926719e-05,"","False","facebook"
"234","Cerovec",21,0,"[]","False","facebook"
"235","Chaddai",1,0,"[]","False","facebook"
"236","Chagall",1,0,"[]","False","facebook"
"237","ChaiTRex",1,0,"[]","False","facebook"
"238","Chanchal1603",1,0,"Gwalior,India","False","facebook"
"239","ChangshinLee-NBT",1,0,"","False","facebook"
"240","CharlesStover",1,0,"Seattle, WA, USA","False","facebook"
"241","ChefAustin",12,2.87032542667125e-05,"Amsterdam, NL","False","facebook"
"242","Chiamaka",3,0.000570194767921978,"Accra, Ghana","False","facebook"
"243","ChiralCarbon",1,0,"Bengaluru,India","False","facebook"
"244","Chocobo1",1,0,"[]","False","facebook"
"245","Chris-R3",1,0,"[]","False","facebook"
"246","ChrisSki",2,0,"[]","False","facebook"
"247","ChristianBecker",5,0.00040396214914258,"Hanover, Germany","False","facebook"
"248","ChristopherBiscardi",1,0,"San Francisco","False","facebook"
"249","ChristopherRogers",2,0,"[]","False","facebook"
"250","Chudesnov",1,0,"St. Petersburg, Russia","False","facebook"
"251","ChungminPark",1,0,"Seoul","False","facebook"
"252","Cictrone",1,0,"Palo Alto","True","facebook"
"253","Cliabhach",1,0,"","False","facebook"
"254","ClimbsRocks",5,0,"[]","False","facebook"
"255","CodinCat",3,9.20138943585545e-05,"Taipei, Taiwan / Fukuoka, Japan","False","facebook"
"256","CodingItWrong",11,0.000154108981304316,"Atlanta, GA","False","facebook"
"257","CodingNinja",1,0,"Australia","False","facebook"
"258","CoericK",1,0,"Perú","False","facebook"
"259","ColCh",6,5.64352294570195e-05,"Russia, Moscow","False","facebook"
"260","ColinCampbell",43,0,"[]","False","facebook"
"261","ColinEberhardt",53,0.000236463638890305,"[]","False","facebook"
"262","CompuIves",36,0.000235495352190282,"Amsterdam, The Netherlands","False","facebook"
"263","ConderS",28,8.55952910926719e-05,"NYC","False","facebook"
"264","Coneko",1,0,"","False","facebook"
"265","Connor1996",5,0,"Beijing, China","False","facebook"
"266","Connormiha",38,0,"Cyprus, Limassol","False","facebook"
"267","Constantine-Fry",13,0,"[]","False","facebook"
"268","Corei13",1,0,"","False","facebook"
"269","CosmicYogi",1,0,"[]","False","facebook"
"270","Crash--",4,0,"Nice","False","facebook"
"271","Crjax",1,0,"[]","False","facebook"
"272","Crysis21",1,0,"Timisoara","False","facebook"
"273","Cyan4973",4083,0,"[]","False","facebook"
"274","CyberMew",2,0,"[]","False","facebook"
"275","Cygra",2,0,"[]","False","facebook"
"276","CyrusZei",1,0,"[]","False","facebook"
"277","DABH",1,0,"","False","facebook"
"278","DJCordhose",2,0,"[]","False","facebook"
"279","DMortens",5,0,"[]","False","facebook"
"280","DSouzaM",120,0,"Ontario, Canada","False","facebook"
"281","DZamataev",13,0,"[]","False","facebook"
"282","Daggtex",18,0,"[]","False","facebook"
"283","Dahlgren",1,0,"[]","False","facebook"
"284","Daij-Djan",24,0.000261229647018949,"[]","False","facebook"
"285","DailyMats",2,3.18257123050447e-06,"","False","facebook"
"286","Dakuan",2,0,"Hitchin","False","facebook"
"287","DaleLJefferson",3,0,"UK","False","facebook"
"288","DallasCarraher",1,0,"[]","False","facebook"
"289","Dalzhim",1,0,"Montréal","False","facebook"
"290","DamonOehlman",1,0,"Sydney, Australia","False","facebook"
"291","DanArthurGallagher",2,0,"Milano, Italia","False","facebook"
"292","DanNixon",5,0,"[]","False","facebook"
"293","DaniAkash",6,0,"[]","False","facebook"
"294","Daniel-B-Smith",2,0,"New York, NY","False","facebook"
"295","Daniel15",62,0.00737680338414523,"Palo Alto, CA","True","facebook"
"296","Daniel9z",20,5.13332391765723e-05,"","False","facebook"
"297","DanielBaulig",2,0,"USA, California","False","facebook"
"298","DanielG",4,0,"[]","False","facebook"
"299","DanielGrech",1,0,"[]","False","facebook"
"300","DanielHabib",1,0,"Brooklyn, NY","False","facebook"
"301","DanielHeckrath",1,0,"","False","facebook"
"302","DanielRHayes",1,0,"Atlanta, GA","False","facebook"
"303","DanielRuf",3,0.000167309862613409,"Germany","False","facebook"
"304","DanilBaibak",1,0,"Berlin","False","facebook"
"305","Danon",2,0,"","False","facebook"
"306","DarkScorpion",10,0,"[]","False","facebook"
"307","DaveCTurner",2,1.72658503906034e-05,"Yorkshire, UK","False","facebook"
"308","DaveFet",1,0,"[]","False","facebook"
"309","DavidBarry",12,0,"[]","False","facebook"
"310","DavidCallahan",14,0.000543038371022629,"Seattle","False","facebook"
"311","DavidEichmann",14,0,"[]","False","facebook"
"312","DavidJWHolmes",1,0,"[]","False","facebook"
"313","DavidMueller0",39,0,"","False","facebook"
"314","DawnWright",1,0,"[]","False","facebook"
"315","Dcallies",6,0,"","False","facebook"
"316","DeDuckProject",2,0,"[]","False","facebook"
"317","DeadEnglish",1,0,"Bedfordshire","False","facebook"
"318","DeanKalla",6,0,"","False","facebook"
"319","Delapouite",1,0,"Nantes / Lyon - France","False","facebook"
"320","DemiMarie",9,0,"[]","False","facebook"
"321","DenTelezhkin",83,0,"Ukraine, Vinnitsya","False","facebook"
"322","DenrizSusam",10,0.00105331364301156,"Berlin","False","facebook"
"323","DerekSchenk",1,0,"Toronto, Canada","False","facebook"
"324","Derrreks",32,1.03045105329216e-07,"","False","facebook"
"325","Developerayo",2,0,"Lagos, Nigeria","False","facebook"
"326","DhavalKapil",5,0,"[]","False","facebook"
"327","DiegoCardoso",1,0,"[]","False","facebook"
"328","Dieterbe",2,0,"[]","False","facebook"
"329","DimitryAndric",2,0,"[]","False","facebook"
"330","DimitryDushkin",4,0,"Moscow","False","facebook"
"331","DinoV",1,0,"Seattle, WA","True","facebook"
"332","DiscoNova",1,0,"[]","False","facebook"
"333","DkBai",1,0,"Shanghai, China","False","facebook"
"334","DmitrySoshnikov",134,0.00268340588470307,"","False","facebook"
"335","DoctorQ",1,0,"beijing","False","facebook"
"336","Doko-Demo-Doa",1,0,"Hanoi, Vietnam","False","facebook"
"337","Dominator008",2,0,"[]","False","facebook"
"338","DominicTobias",1,0,"[]","False","facebook"
"339","DominikPalo",1,0,"[]","False","facebook"
"340","DorianZheng",10,0,"Guangzhou","False","facebook"
"341","Downchuck",1,0,"[]","False","facebook"
"342","DrDanRyan",1,0,"Jupiter, FL","False","facebook"
"343","DragonMinded",2,0,"Bay Area","False","facebook"
"344","DrewML",7,0,"Austin, TX","False","facebook"
"345","Drewbi",5,0,"Perth, Western Australia ","False","facebook"
"346","Drewpom",1,0,"[]","False","facebook"
"347","Drup",1,0,"","False","facebook"
"348","Dubes",1,0,"[]","False","facebook"
"349","DurhamG",3,3.02077102075223e-05,"","False","facebook"
"350","DylanZA",31,0.000125375373463584,"","False","facebook"
"351","EFLql",1,0,"","False","facebook"
"352","EJohnF",2,0,"[]","False","facebook"
"353","Eazymov",1,0,"Yekaterinburg","False","facebook"
"354","EddyBorja",13,0,"[]","False","facebook"
"355","EduardoRFS",2,0,"","False","facebook"
"356","EdwaRen",1,0,"[]","False","facebook"
"357","EdwardBetts",1,0,"Cambridge, UK","False","facebook"
"358","EgorShum",1,0,"","False","facebook"
"359","EivindArvesen",1,0,"[]","False","facebook"
"360","Elrendio",1,0,"Paris","False","facebook"
"361","EmaSuriano",1,0,"[]","False","facebook"
"362","Emile-Filteau",1,0,"Montreal","False","facebook"
"363","EnderSmith",1,0,"[]","False","facebook"
"364","Engil",1,0,"Zürich","False","facebook"
"365","English3000",1,0,"San Francisco","False","facebook"
"366","EnoahNetzach",12,0.000516578553152568,"Fohnsdorf","False","facebook"
"367","EnzoTheBrown",1,0,"Villeurbanne","False","facebook"
"368","Eric-Wright",1,0,"Seattle, WA","False","facebook"
"369","EricAtPlanGrid",1,0,"Portland, OR","False","facebook"
"370","EricPonvelle",3,0,"Atlanta, Georgia","False","facebook"
"371","Ericson2314",8,0.00821682132080727,"New York","False","facebook"
"372","ErinZhang123",4,0,"","False","facebook"
"373","ErrorPro",2,0,"Amsterdam","False","facebook"
"374","Esemesek",25,0.000269590510426617,"Wrocław, Poland","False","facebook"
"375","EssamEmad",16,1.34675542922668e-05,"","False","facebook"
"376","Et7f3",1,0,"","False","facebook"
"377","Ethan-Arrowood",2,0,"[]","False","facebook"
"378","EthanMarrs",1,0,"Cape Town","False","facebook"
"379","Etsukata",2,0,"[]","False","facebook"
"380","EuAndreh",1,0,"","False","facebook"
"381","EugenePig",1,0,"","False","facebook"
"382","EugeneSusla",16,0,"[]","False","facebook"
"383","EvanBacon",13,0.000235495352190282,"East Palo Alto, California","False","facebook"
"384","EvanBoyle",1,0,"[]","False","facebook"
"385","ExE-Boss",2,0,"[]","False","facebook"
"386","ExplodingCabbage",3,0,"[]","False","facebook"
"387","ExtremeMan",326,0.000113529148796391,"Russia, Moscow","False","facebook"
"388","EyMaddis",2,0,"[]","False","facebook"
"389","Eyyub",8,0,"Montréal, Canada","False","facebook"
"390","EzequielB",1,0,"[]","False","facebook"
"391","FBNeal",69,0.000128335596118814,"","False","facebook"
"392","FLGMwt",3,0.000373209788161517,"[]","False","facebook"
"393","FZambia",1,0,"Moscow, Russia","False","facebook"
"394","FabianFrank",1,0,"","False","facebook"
"395","Fabianopb",2,0,"[]","False","facebook"
"396","Fabo",37,0,"Cagnes-sur-Mer, France","False","facebook"
"397","Faboor",1,0,"London","True","facebook"
"398","Faiz-Abbas",80,0,"","False","facebook"
"399","Fanghao",1,0,"[]","False","facebook"
"400","Farqd",3,3.46501527362087e-05,"[]","False","facebook"
"401","Favna",1,0,"[]","False","facebook"
"402","Feng23",201,2.58156552597839e-05,"","False","facebook"
"403","FeynmanDNA",2,0,"Singapore","False","facebook"
"404","FezVrasta",3,0.000314372368511172,"Budapest, Hungary (previously in Italy)","False","facebook"
"405","FieryRobot",45,8.33152945979069e-05,"Bay Area, CA","False","facebook"
"406","Fl0p",1,0,"[]","False","facebook"
"407","FlightRecorderOfficial",13,0,"[]","False","facebook"
"408","FocalChord",1,0,"","False","facebook"
"409","FokkeZB",1,0,"[]","False","facebook"
"410","ForbesLindesay",17,0.00151232059589695,"London, UK","False","facebook"
"411","Foxhoundn",1,0,"Czech Republic","False","facebook"
"412","FrancescoJo",1,0,"","False","facebook"
"413","FrancisToth",1,0,"[]","False","facebook"
"414","FrankChung",1,0,"","False","facebook"
"415","FredericJacobs",23,0,"[]","False","facebook"
"416","FtheGFW",1,0,"China","False","facebook"
"417","Fuchida",1,0,"[]","False","facebook"
"418","FuegoFro",1,0,"[]","False","facebook"
"419","Furizaa",1,0,"[]","False","facebook"
"420","Fuuzetsu",184,1.72658503906034e-05,"Tokyo, Japan","False","facebook"
"421","G-Rath",19,0,"New Zealand","False","facebook"
"422","GAumala",4,0,"[]","False","facebook"
"423","Gabri3l",1,0,"Austin, TX","False","facebook"
"424","Gabriel439",2,0,"[]","False","facebook"
"425","GaloisNeko",1,0,"Sydney","False","facebook"
"426","Gamote",2,0,"","False","facebook"
"427","GantMan",22,0.000732658313313636,"New Orleans","False","facebook"
"428","GasimGasimzada",1,0,"[]","False","facebook"
"429","Gateworks",196,0,"","False","facebook"
"430","Gatsby-Lee",1,0,"[]","False","facebook"
"431","Gautier",4,0,"[]","False","facebook"
"432","GautierT",1,0,"[]","False","facebook"
"433","Gedevan-Aleksizde",1,0,"Tokyo","False","facebook"
"434","GeorgeLu97",97,0,"[]","False","facebook"
"435","GermaVinsmoke",1,0,"","False","facebook"
"436","GijsWeterings",4,0,"Delft, Netherlands","False","facebook"
"437","GioLogist",3,0,"[]","False","facebook"
"438","Glavin001",1,0,"Halifax, Nova Scotia, Canada","False","facebook"
"439","GlebShchepa",288,0.000102832630436096,"","False","facebook"
"440","Globegitter",7,0,"","False","facebook"
"441","Glurt",1,0,"Leeds, United Kingdom","False","facebook"
"442","Goom11",7,1.53380379821799e-05,"","False","facebook"
"443","Gordonei",1,0,"Cape Town, South Africa","False","facebook"
"444","GordyD",6,0.000119551095863793,"[]","False","facebook"
"445","GotEmB",4,0,"[]","False","facebook"
"446","Gownta",120,0.000280975766763837,"[]","False","facebook"
"447","Gozala",2,0,"Portland, OR, United States","False","facebook"
"448","Gpx",6,0.000117095286144511,"Barcelona","False","facebook"
"449","GrahamCampbell",34,0,"[]","False","facebook"
"450","GrahamDennis",12,0,"[]","False","facebook"
"451","Grandolf49",1,0,"Pune","False","facebook"
"452","Gray0Ed",4,0,"[]","False","facebook"
"453","GreenGremlin",6,0,"[]","False","facebook"
"454","Gregoirevda",1,0,"belgium","False","facebook"
"455","Gregoor",1,0,"Berlin, Germany","False","facebook"
"456","GuiHash",1,0,"[]","False","facebook"
"457","GuillaumeSalles",1,0,"Montréal, Canada","False","facebook"
"458","Guru107",2,0,"Mumbai, India","False","facebook"
"459","H1Gdev",10,0,"","False","facebook"
"460","HBehrens",22,0,"[]","False","facebook"
"461","Hans-Halverson",228,0.000319089381568102,"","False","facebook"
"462","HaomiaoLiu730",2,0,"","False","facebook"
"463","HaoyuHuang",32,0,"","False","facebook"
"464","Happy-Ferret",1,0,"","False","facebook"
"465","Haroenv",9,8.4359341469189e-05,"Paris, France","False","facebook"
"466","Harry-L",6,0,"[]","False","facebook"
"467","HarveyHunt",1,0,"London","False","facebook"
"468","Hasil-Sharma",1,0,"Boulder, CO","False","facebook"
"469","HaydnTrigg",4,0,"[]","False","facebook"
"470","HeEAaD",2,6.91527434385505e-06,"Dresden","False","facebook"
"471","Helkafen",13,0,"Montréal","False","facebook"
"472","HelloCore",1,0,"Bangkok, Thailand","False","facebook"
"473","HendMahmoud",1,0,"","False","facebook"
"474","HendrixString",1,0,"[]","False","facebook"
"475","HenrySwanson",2,0,"","False","facebook"
"476","HeroProtagonist",2,0,"[]","False","facebook"
"477","HeroicHitesh",1,0,"India","False","facebook"
"478","HeyItsGilbert",2,0,"San Jose, CA","False","facebook"
"479","HeyMultiverse",74,0.000141074166793065,"","False","facebook"
"480","Hincoin",1,0,"[]","False","facebook"
"481","HolgerJeromin",1,0,"Germany","False","facebook"
"482","Hongbo-Miao",1,0,"[]","False","facebook"
"483","HoratiuVultur",51,0,"","False","facebook"
"484","HouBingjian",2,0,"","False","facebook"
"485","HsuTing",1,0,"Taiwan, Taipei","False","facebook"
"486","HsuanTingLu",1,0,"Taiwan","False","facebook"
"487","Hugodby",1,0,"[]","False","facebook"
"488","HurricaneJames",2,2.98635987484283e-05,"Orlando, FL","False","facebook"
"489","Hurtak",2,0,"[]","False","facebook"
"490","Huxpro",73,1.34675542922668e-05,"[CA, NY, ...China]","False","facebook"
"491","Hypnosphi",3,0.000102724864923725,"Gilching, Bayern","False","facebook"
"492","Hypuk",21,7.76608083558406e-06,"London, UK","False","facebook"
"493","IDrissAitHafid",4,0,"[]","False","facebook"
"494","IamDhana",1,0,"[]","False","facebook"
"495","Ian-Stewart-Binks",1,0,"San Francisco","False","facebook"
"496","IanChilds",943,0.00097594963346177,"London","True","facebook"
